,Link,Posisi,Perusahaan,Kota,Gaji,Tanggal
0,https://www.jobstreet.co.id//id/job/education-counselor-sales-staff-semarang-4105962?jobId=jobstreet-id-job-4105962&sectionRank=1&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Education Counselor (Sales Staff) - Semarang,PT Extramarks Education Indonesia,Semarang,N/A,1 hari yang lalu
1,https://www.jobstreet.co.id//id/job/staf-administrasi-4105361?jobId=jobstreet-id-job-4105361&sectionRank=2&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Staf Administrasi,PT Sari Husada Bhakti,Semarang,N/A,1 hari yang lalu
2,https://www.jobstreet.co.id//id/job/hr-general-affair-staff-4107090?jobId=jobstreet-id-job-4107090&sectionRank=3&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,HR & General Affair Staff,PT. Hanchen Industrial Indonesia,Semarang,"IDR 2,9 jt - 3,2 jt  per bulan ",19 jam yang lalu
3,https://www.jobstreet.co.id//id/job/sales-representative-%5Bsemarang%5D-4105527?jobId=jobstreet-id-job-4105527&sectionRank=4&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Sales Representative [Semarang],PT DSL INDONESIA,Semarang,"IDR 2,5 jt - 3,5 jt  per bulan ",1 hari yang lalu
4,https://www.jobstreet.co.id//id/job/hrd-staff-4106417?jobId=jobstreet-id-job-4106417&sectionRank=5&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,HRD Staff,PT Bangga Teknologi Indonesia,Semarang,N/A,23 jam yang lalu
5,https://www.jobstreet.co.id//id/job/sales-administration-staff-semarang-4106512?jobId=jobstreet-id-job-4106512&sectionRank=6&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Sales Administration Staff (Semarang),PT Suryamas Lumisindo Dwidaya,Semarang,N/A,23 jam yang lalu
6,https://www.jobstreet.co.id//id/job/frontliner-customer-service-teller-4104461?jobId=jobstreet-id-job-4104461&sectionRank=7&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Frontliner (Customer Service-Teller),P.T. Bank Bumi Arta Tbk.,"Jakarta Raya, Bandung, Semarang, Surakarta, Surabaya, Bandar Lampung, Makassar, Binjai, Medan, Tangerang",N/A,2 hari yang lalu
7,https://www.jobstreet.co.id//id/job/staf-operasional-pengemudi-4107600?jobId=jobstreet-id-job-4107600&sectionRank=8&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Staf Operasional Pengemudi,PT Siba Surya,Semarang,IDR 3 jt - 4 jt  per bulan ,16 jam yang lalu
8,https://www.jobstreet.co.id//id/job/sales-showroom-4104579?jobId=jobstreet-id-job-4104579&sectionRank=9&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Sales Showroom,PT Sehati Jaya Abadi Gemilang,"Jakarta Pusat, Jakarta Selatan, Tangerang, Semarang",N/A,1 hari yang lalu
9,https://www.jobstreet.co.id//id/job/finance-staff-4104727?jobId=jobstreet-id-job-4104727&sectionRank=10&token=0~a523cde7-1be0-4972-bc8f-2ded15ae3d19&fr=SRP%20View%20In%20New%20Tab,Finance Staff,PT Tawada Healthcare,"Jakarta Barat, Semarang",N/A,1 hari yang lalu
